학교명,시도,행정구,학교급,설립,지역규모,위도,경도,학생수,교원수,정규교원수,기간제교원수,직원수,교원1인당학생수,학생1인당교지면적,기간제비율,정규교원비율,직원당학생수,학생수_log,교지면적_log,cluster,cluster_type,최종유형,과밀score,소멸score,교원밀도_norm,기간제score,과밀등급,소멸등급,기간제등급,과밀target,소멸target,기간제target
교동초등학교,강원,강릉시,초등학교,공립,시,37.3389582,127.9470691,260.0,25.0,24.0,1.0,18.0,10.4,65.3,0.04,0.96,14.444444444444445,5.564520407322694,4.194189897191817,3,초과밀형,과밀형,6.246033182503771,0.021146478043029767,0.3854961832061069,0.14364885496183205,일반,일반,일반,0,0,0
교동초등학교,강원,속초시,초등학교,공립,시,37.3389582,127.9470691,659.0,47.0,45.0,2.0,24.0,14.0,36.8,0.0425531914893617,0.9574468085106383,27.458333333333332,6.492239835020471,3.632309102625542,1,소멸위험형,소멸위험형,8.410582010582011,0.011174242424242423,0.5229007633587787,0.18665746305018677,일반,일반,일반,0,0,0
교동초등학교,강원,원주시,초등학교,공립,시,37.3389582,127.9470691,303.0,31.0,29.0,2.0,19.0,9.8,80.8,0.06451612903225806,0.9354838709677419,15.947368421052632,5.717027701406222,4.404277243608702,3,초과밀형,과밀형,5.884889975550122,0.01726973684210526,0.36259541984732824,0.1539399162767791,일반,일반,일반,0,0,0
교동초등학교,강원,춘천시,초등학교,공립,시,37.3389582,127.9470691,83.0,13.0,13.0,0.0,21.0,6.4,217.6,0.0,1.0,3.9523809523809526,4.430816798843313,5.387243575742438,2,일반형,일반형,3.841829826166514,0.041666666666666664,0.23282442748091606,0.06984732824427481,일반,일반,일반,0,0,0
교학초등학교,강원,원주시,초등학교,공립,면지역,37.43538093,128.0553274,39.0,11.0,11.0,0.0,5.0,3.5,210.3,0.0,1.0,7.8,3.6888794541139363,5.353278924622011,0,도심밀집형,과밀형,2.1018930430667297,0.05416666666666667,0.12213740458015267,0.036641221374045796,일반,일반,일반,0,0,0
구곡초등학교,강원,원주시,초등학교,공립,시,37.32488379,127.952479,620.0,52.0,48.0,4.0,26.0,11.9,34.5,0.07692307692307693,0.9230769230769231,23.846153846153847,6.431331081933479,3.56953269648137,3,초과밀형,과밀형,7.1512676056338025,0.010239115243216966,0.44274809160305345,0.18667058132706987,일반,일반,일반,0,0,0
구래초등학교,강원,영월군,초등학교,공립,특수지역,37.14185819,128.8390436,12.0,5.0,5.0,0.0,5.0,2.4,957.5,0.0,1.0,2.4,2.5649493574615367,6.865369562485699,0,도심밀집형,과밀형,1.4404173187271778,0.12179487179487179,0.08015267175572519,0.024045801526717554,일반,TOP1,일반,0,1,0
구송초등학교,강원,홍천군,초등학교,공립,면지역,37.73846005,127.9384056,17.0,9.0,8.0,1.0,6.0,1.9,728.6,0.1111111111111111,0.8888888888888888,2.8333333333333335,2.8903717578961645,6.592496438760121,0,도심밀집형,과밀형,1.140548245614035,0.07777777777777778,0.061068702290076333,0.09609838846480066,일반,TOP5,일반,0,1,0
구정초등학교,강원,강릉시,초등학교,공립,면지역,37.71771534,128.8913615,95.0,12.0,12.0,0.0,8.0,7.9,222.6,0.0,1.0,11.875,4.564348191467836,5.409858741280944,2,일반형,일반형,4.7417889087656535,0.0436698717948718,0.2900763358778626,0.08702290076335877,일반,일반,일반,0,0,0
귀둔초등학교,강원,인제군,초등학교,공립,특수지역,38.01720494,128.3607942,23.0,9.0,9.0,0.0,6.0,2.6,515.7,0.0,1.0,3.8333333333333335,3.1780538303479458,6.247462435293139,0,도심밀집형,과밀형,1.5607741436036384,0.07083333333333333,0.08778625954198474,0.026335877862595423,일반,TOP5,일반,0,1,0
